Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Weighted_avg_false_positive_rate
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
4.1-type-sibsp-parch-nofb,0.24,0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.23,' ',0.24,' ',0.25,' ',0.24,' ',0.24,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.28,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' '
4.2-type-fbp-sibsp-noemba,0.23,0.22,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.23,' ',0.23,' ',0.22,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.24,' ',0.30,v,0.30,v,0.30,v,0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.25,' '
4.3-type-sibsp-parch-nofb,0.22,0.22,' ',0.23,' ',0.21,' ',0.23,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.27,v,0.22,' ',0.22,' ',0.22,' ',0.28,v
4.4-type-fbp-sibsp-noparc,0.23,0.23,' ',0.23,' ',0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.27,' ',0.30,v,0.30,v,0.30,v,0.26,' ',0.24,' ',0.24,' ',0.24,' ',0.27,v
4.5-type-sibsp-nofbp-nopa,0.23,0.24,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.28,v,0.24,' ',0.24,' ',0.24,' ',0.25,v
4.6-type-fbp-sibsp-noemba,0.23,0.23,' ',0.23,' ',0.22,' ',0.25,' ',0.25,' ',0.25,' ',0.22,' ',0.23,' ',0.22,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.23,' ',0.30,v,0.30,v,0.30,v,0.26,' ',0.23,' ',0.23,' ',0.23,' ',0.27,v
4.7-type-sibsp-nofbp-noem,0.23,0.22,' ',0.23,' ',0.21,' ',0.25,' ',0.25,' ',0.21,' ',0.23,' ',0.24,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.28,' ',0.24,' ',0.24,' ',0.24,' ',0.31,v
5.0-type-fbp-sibsp-deck,0.25,0.23,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,' ',0.24,' ',0.25,' ',0.23,' ',0.23,*,0.23,' ',0.23,*,0.24,' ',0.23,*,0.28,' ',0.30,v,0.30,v,0.30,v,0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.27,' '
5.1-type-sibsp-deck-nofbp,0.25,0.26,' ',0.23,*,0.27,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,' ',0.23,*,0.23,*,0.23,*,0.24,' ',0.23,' ',0.23,' ',0.23,' ',0.28,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
5.2-type-fbp-sibsp-deck-n,0.25,0.22,*,0.23,' ',0.24,' ',0.25,' ',0.25,' ',0.26,' ',0.22,' ',0.23,' ',0.25,' ',0.22,*,0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.23,' ',0.26,' ',0.30,v,0.30,v,0.30,v,0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.26,' '
5.3-type-sibsp-deck-noemb,0.30,0.30,' ',0.23,*,0.28,' ',0.29,' ',0.29,' ',0.26,*,0.30,' ',0.30,' ',0.28,' ',0.30,' ',0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.25,*,0.25,*,0.25,*,0.25,*,0.29,' ',0.29,' ',0.29,' ',0.29,' ',0.30,' '
5.4-type-fbp-sibsp-deck-n,0.26,0.23,*,0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,' ',0.24,' ',0.25,' ',0.22,*,0.23,*,0.23,' ',0.23,*,0.24,' ',0.23,*,0.27,' ',0.31,v,0.31,v,0.31,v,0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.28,' '
5.5-type-sibsp-deck-nofbp,0.26,0.25,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
5.6-type-fbp-sibsp-deck-n,0.25,0.22,*,0.23,' ',0.24,' ',0.25,' ',0.25,' ',0.26,' ',0.22,' ',0.23,' ',0.25,' ',0.22,*,0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.23,' ',0.26,' ',0.30,v,0.30,v,0.30,v,0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.26,' '
5.7-type-sibsp-deck-noemb,0.26,0.25,' ',0.23,*,0.24,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.26,' ',0.24,' ',0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.28,' ',0.25,' ',0.25,' ',0.25,' ',0.30,v
2.4-type2,0.24,0.25,' ',0.23,' ',0.22,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.26,' ',0.24,' ',0.24,' ',0.21,*,0.22,' ',0.22,' ',0.21,*,0.23,' ',0.28,v,0.25,' ',0.24,' ',0.25,' ',0.27,' ',0.26,' ',0.26,' ',0.26,' ',0.24,' '
2.5-type2-noembarked,0.23,0.23,' ',0.23,' ',0.21,' ',0.23,' ',0.23,' ',0.26,' ',0.24,' ',0.25,' ',0.23,' ',0.22,' ',0.21,' ',0.22,' ',0.22,' ',0.21,' ',0.24,' ',0.31,v,0.26,' ',0.25,' ',0.26,' ',0.28,v,0.25,' ',0.25,' ',0.25,' ',0.29,v
2.6-type2-nosibsp-noparch,0.25,0.26,' ',0.23,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,' ',0.23,' ',0.23,' ',0.25,' ',0.25,' ',0.28,v,0.28,v,0.28,v,0.28,v,0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
2.7-type2-nosibsp-noparch,0.30,0.31,' ',0.23,*,0.27,' ',0.29,' ',0.29,' ',0.30,' ',0.29,' ',0.30,' ',0.26,*,0.30,' ',0.23,*,0.23,*,0.23,*,0.29,' ',0.29,' ',0.31,' ',0.31,' ',0.31,' ',0.31,' ',0.29,' ',0.30,' ',0.30,' ',0.30,' ',0.31,' '
2.8-type2-noparch,0.24,0.24,' ',0.23,' ',0.22,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.24,' ',0.24,' ',0.21,*,0.22,' ',0.22,' ',0.21,*,0.23,' ',0.28,v,0.25,' ',0.23,' ',0.25,' ',0.27,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' '
3.1-type2-company,0.26,0.26,' ',0.23,*,0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.27,' ',0.26,' ',0.25,' ',0.23,*,0.23,*,0.23,*,0.25,' ',0.25,' ',0.27,' ',0.27,' ',0.27,' ',0.27,' ',0.29,' ',0.27,v,0.27,v,0.27,v,0.27,' '
3.3-type2-company-noembar,0.26,0.26,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,*,0.23,*,0.23,*,0.27,' ',0.27,' ',0.29,v,0.29,v,0.29,v,0.29,v,0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.31,v
4.1-type2-sibsp,0.24,0.24,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.28,v,0.28,v,0.28,v,0.28,v,0.27,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' '
4.3-type2-sibsp-noembarke,0.23,0.22,' ',0.23,' ',0.21,' ',0.23,' ',0.23,' ',0.23,' ',0.22,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.31,v,0.30,v,0.30,v,0.30,v,0.27,' ',0.23,' ',0.23,' ',0.23,' ',0.29,v
4.4-type2-sibsp-noparch,0.23,0.24,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.27,v,0.27,v,0.27,v,0.27,v,0.28,v,0.25,' ',0.25,' ',0.25,' ',0.26,v
4.5-type2-sibsp-noparch-n,0.23,0.22,' ',0.23,' ',0.22,' ',0.25,' ',0.25,' ',0.25,' ',0.24,' ',0.24,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.31,v,0.31,v,0.31,v,0.31,v,0.28,' ',0.24,' ',0.24,' ',0.24,' ',0.31,v
5.1-type2-sibsp-deck,0.25,0.26,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,' ',0.24,' ',0.23,' ',0.23,*,0.23,' ',0.29,v,0.28,v,0.28,v,0.28,v,0.28,' ',0.26,' ',0.26,' ',0.26,' ',0.27,' '
5.3-type2-sibsp-deck-noem,0.31,0.30,' ',0.23,*,0.29,' ',0.30,' ',0.30,' ',0.30,' ',0.30,' ',0.30,' ',0.28,' ',0.30,' ',0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.31,' ',0.30,' ',0.30,' ',0.30,' ',0.30,' ',0.30,' ',0.30,' ',0.30,' ',0.31,' '
5.5-type2-sibsp-deck-nopa,0.26,0.26,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.27,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.23,*,0.24,' ',0.23,*,0.23,*,0.23,*,0.28,v,0.28,v,0.28,v,0.28,v,0.30,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
5.7-type2-sibsp-deck-noem,0.26,0.25,' ',0.23,*,0.25,' ',0.25,' ',0.25,' ',0.29,' ',0.25,' ',0.25,' ',0.26,' ',0.25,' ',0.23,*,0.24,' ',0.23,' ',0.23,*,0.23,*,0.31,v,0.30,v,0.30,v,0.30,v,0.29,' ',0.25,' ',0.25,' ',0.25,' ',0.30,v
1.binfbp,0.24,0.26,' ',0.25,' ',0.24,' ',0.25,' ',0.25,' ',0.25,' ',0.24,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.23,' ',0.25,' ',0.27,' ',0.23,' ',0.23,' ',0.23,' ',0.29,v,0.29,v,0.29,v,0.29,v,0.24,' '
2.0-type-binfbp,0.24,0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.27,v,0.24,' ',0.24,' ',0.21,' ',0.22,' ',0.22,' ',0.21,*,0.22,' ',0.27,' ',0.22,' ',0.22,' ',0.22,' ',0.27,' ',0.26,v,0.26,v,0.26,v,0.24,' '
2.1-type-binfbp-nosibsp-n,0.30,0.31,' ',0.23,*,0.27,*,0.29,' ',0.29,' ',0.29,' ',0.30,' ',0.31,' ',0.26,*,0.30,' ',0.23,*,0.23,*,0.23,*,0.28,' ',0.28,' ',0.25,*,0.25,*,0.25,*,0.25,*,0.29,' ',0.31,' ',0.31,' ',0.31,' ',0.31,' '
2.2-type-binfbp-noembarke,0.23,0.22,' ',0.23,' ',0.21,' ',0.23,' ',0.23,' ',0.23,' ',0.24,' ',0.25,' ',0.23,' ',0.22,' ',0.21,' ',0.22,' ',0.22,' ',0.21,' ',0.23,' ',0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.28,v,0.25,' ',0.25,' ',0.25,' ',0.29,v
2.3-type-binfbp-nosibsp-n,0.25,0.25,' ',0.23,' ',0.25,' ',0.26,v,0.26,v,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.25,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.29,' ',0.26,v,0.26,v,0.26,v,0.26,' '
2.4-type-binfbp-noparch,0.24,0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.24,' ',0.24,' ',0.21,' ',0.21,' ',0.21,' ',0.21,*,0.23,' ',0.26,' ',0.22,' ',0.21,' ',0.22,' ',0.27,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' '
2.5-type-binfbp-noembarke,0.24,0.22,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.23,' ',0.23,' ',0.23,' ',0.23,' ',0.22,' ',0.21,' ',0.21,' ',0.21,' ',0.21,' ',0.24,' ',0.25,' ',0.23,' ',0.23,' ',0.23,' ',0.28,v,0.23,' ',0.23,' ',0.23,' ',0.29,v
3.0-type-binfbp-company,0.25,0.26,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,' ',0.23,*,0.25,' ',0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.29,v,0.26,v,0.26,v,0.26,v,0.26,' '
3.2-type-binfbp-company-n,0.26,0.25,' ',0.23,*,0.25,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,*,0.23,*,0.27,' ',0.27,' ',0.28,' ',0.28,' ',0.28,' ',0.28,' ',0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.31,v
4.0-type-binfbp-sibsp,0.24,0.24,' ',0.23,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.25,' ',0.24,' ',0.24,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.26,' ',0.25,' ',0.25,' ',0.25,' ',0.28,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' '
4.2-type-binfbp-sibsp-noe,0.22,0.22,' ',0.23,' ',0.21,' ',0.23,' ',0.22,' ',0.22,' ',0.23,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.21,' ',0.22,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.27,v,0.23,' ',0.23,' ',0.23,' ',0.29,v
4.3-type-binfbp-sibsp-nop,0.23,0.24,' ',0.23,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.24,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.28,v,0.24,' ',0.24,' ',0.24,' ',0.25,v
4.4-type-binfbp-sibsp-nop,0.23,0.22,' ',0.23,' ',0.22,' ',0.25,' ',0.25,' ',0.23,' ',0.24,' ',0.25,' ',0.23,' ',0.23,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.22,' ',0.28,' ',0.25,' ',0.25,' ',0.25,' ',0.31,v
5.0-type-binfbp-sibsp-dec,0.25,0.25,' ',0.23,*,0.27,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,' ',0.23,*,0.23,*,0.23,*,0.27,' ',0.25,' ',0.25,' ',0.25,' ',0.28,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
5.2-type-binfbp-sibsp-dec,0.26,0.25,' ',0.23,*,0.24,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.24,' ',0.23,*,0.23,*,0.23,*,0.24,*,0.23,*,0.25,' ',0.25,' ',0.25,' ',0.25,' ',0.28,' ',0.25,' ',0.25,' ',0.25,' ',0.30,v
5.3-type-binfbp-sibsp-dec,0.25,0.25,' ',0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.25,' ',0.26,' ',0.26,' ',0.25,' ',0.23,*,0.23,' ',0.23,*,0.23,*,0.23,*,0.26,' ',0.26,' ',0.26,' ',0.26,' ',0.29,' ',0.26,' ',0.26,' ',0.26,' ',0.26,' '
5.4-type-binfbp-sibsp-dec,0.31,0.30,' ',0.23,*,0.28,*,0.29,' ',0.29,' ',0.30,' ',0.30,' ',0.30,' ',0.28,*,0.30,' ',0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.25,*,0.25,*,0.25,*,0.25,*,0.29,' ',0.29,' ',0.29,' ',0.29,' ',0.30,' '
'[v/ /*]','','',[0/61/4],'',[0/42/23],'',[0/63/2],'',[1/64/0],'',[1/64/0],'',[1/62/2],'',[0/64/1],'',[2/63/0],'',[0/61/4],'',[0/61/4],'',[0/41/24],'',[0/50/15],'',[0/43/22],'',[1/46/18],'',[0/52/13],'',[15/45/5],'',[19/41/5],'',[19/41/5],'',[19/41/5],'',[15/50/0],'',[8/57/0],'',[8/57/0],'',[8/57/0],'',[27/38/0]


Key,
[1],'trees.ADTree \'-B 10 -E -3\' -1532264837167690683'
[2],'trees.BFTree \'-S 1 -M 2 -N 5 -C 1.0 -P POSTPRUNED\' -7035607375962528217'
[3],'trees.DecisionStump \'\' 1618384535950391'
[4],'trees.FT \'-I 15 -F 0 -M 15 -W 0.0\' -1113212459618105000'
[5],'trees.J48 \'-C 0.25 -M 2\' -217733168393644444'
[6],'trees.J48graft \'-C 0.25 -M 2\' 8823716098042427799'
[7],'trees.NBTree \'\' -4716005707058256086'
[8],'trees.RandomForest \'-I 10 -K 0 -S 1\' -2260823972777004705'
[9],'trees.RandomTree \'-K 0 -M 1.0 -S 1\' 8934314652175299374'
[10],'trees.REPTree \'-M 2 -V 0.001 -N 3 -S 1 -L -1\' -9216785998198681299'
[11],'trees.SimpleCart \'-S 1 -M 2.0 -N 5 -C 1.0\' 4154189200352566053'
[12],'functions.SMO \'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \\\"functions.supportVector.PolyKernel -C 250007 -E 1.0\\\"\' -6585883636378691736'
[13],'functions.SMO \'-C 1.0 -L 0.001 -P 1.0E-12 -N 1 -V -1 -W 1 -K \\\"functions.supportVector.PolyKernel -C 250007 -E 1.0\\\"\' -6585883636378691736'
[14],'functions.SMO \'-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \\\"functions.supportVector.PolyKernel -C 250007 -E 1.0\\\"\' -6585883636378691736'
[15],'functions.LibSVM \'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -seed 1\' 14172'
[16],'functions.LibSVM \'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -Z -seed 1\' 14172'
[17],'bayes.BayesNet \'-D -Q bayes.net.search.local.K2 -- -P 1 -S BAYES -E bayes.net.estimate.SimpleEstimator -- -A 0.5\' 746037443258775954'
[18],'bayes.NaiveBayes \'\' 5995231201785697655'
[19],'bayes.NaiveBayesSimple \'\' -1478242251770381214'
[20],'bayes.NaiveBayesUpdateable \'\' -5354015843807192221'
[21],'lazy.IB1 \'\' -6152184127304895851'
[22],'lazy.IBk \'-K 1 -W 0 -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
[23],'lazy.IBk \'-K 1 -W 0 -I -A \\\"weka.core.neighboursearch.LinearNNSearch -A \\\\\\\"weka.core.EuclideanDistance -R first-last\\\\\\\"\\\"\' -3080186098777067172'
