@relation 1.fbp-weka.filters.supervised.attribute.Discretize-R6

@attribute Pclass {THREE,ONE,TWO}
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare {'\'(-inf-15.65]\'','\'(15.65-inf)\''}
@attribute Embarked {S,C,Q}
@attribute Survived {FALSE,TRUE}

@data
ONE,male,45,1,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,4,3,2,'\'(-inf-15.65]\'',S,FALSE
ONE,male,?,0,0,'\'(15.65-inf)\'',C,FALSE
THREE,male,?,1,1,'\'(-inf-15.65]\'',C,TRUE
TWO,female,29,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,19,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,17,4,2,'\'(-inf-15.65]\'',S,TRUE
THREE,male,26,2,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,32,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,16,5,2,'\'(-inf-15.65]\'',S,FALSE
TWO,male,21,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,26,1,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,32,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,25,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,0.83,0,2,'\'(-inf-15.65]\'',S,TRUE
THREE,female,30,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,29,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,male,28,0,0,'\'(15.65-inf)\'',S,FALSE
TWO,female,17,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,33,3,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,16,1,3,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,23,3,2,'\'(15.65-inf)\'',S,TRUE
THREE,male,24,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,29,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,20,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,46,1,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,26,1,2,'\'(-inf-15.65]\'',S,FALSE
THREE,male,59,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,71,0,0,'\'(15.65-inf)\'',C,FALSE
ONE,male,23,0,1,'\'(15.65-inf)\'',C,TRUE
TWO,female,34,0,1,'\'(-inf-15.65]\'',S,TRUE
TWO,male,34,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,28,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,21,0,1,'\'(15.65-inf)\'',S,FALSE
THREE,male,33,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,37,2,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,21,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,38,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,1,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,male,47,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,female,14.5,1,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,20,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,17,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,21,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,70.5,0,0,'\'(-inf-15.65]\'',Q,FALSE
TWO,male,29,1,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,24,0,1,'\'(15.65-inf)\'',C,FALSE
THREE,female,2,4,2,'\'(-inf-15.65]\'',S,FALSE
TWO,male,21,2,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,32.5,1,0,'\'(-inf-15.65]\'',C,FALSE
TWO,female,32.5,0,0,'\'(-inf-15.65]\'',S,TRUE
ONE,male,54,0,1,'\'(15.65-inf)\'',S,FALSE
THREE,male,12,1,0,'\'(-inf-15.65]\'',C,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',Q,FALSE
THREE,male,24,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,?,1,1,'\'(-inf-15.65]\'',C,TRUE
THREE,male,45,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,33,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,20,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,47,1,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,29,1,0,'\'(15.65-inf)\'',S,TRUE
TWO,male,25,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,23,0,0,'\'(-inf-15.65]\'',C,FALSE
ONE,female,19,0,2,'\'(15.65-inf)\'',S,TRUE
ONE,male,37,1,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,16,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,24,0,0,'\'(15.65-inf)\'',C,FALSE
THREE,female,?,0,2,'\'(-inf-15.65]\'',C,FALSE
THREE,female,22,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,24,1,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,19,0,0,'\'(-inf-15.65]\'',Q,FALSE
TWO,male,18,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,19,1,1,'\'(15.65-inf)\'',S,FALSE
THREE,male,27,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,9,2,2,'\'(-inf-15.65]\'',S,FALSE
TWO,male,36.5,0,2,'\'(-inf-15.65]\'',S,FALSE
TWO,male,42,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,51,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,22,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,55.5,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,40.5,0,2,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,51,0,1,'\'(15.65-inf)\'',C,FALSE
THREE,female,16,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,30,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,8,2,'\'(-inf-15.65]\'',S,FALSE
THREE,male,44,0,1,'\'(15.65-inf)\'',S,FALSE
TWO,female,40,0,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,26,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,17,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,1,4,1,'\'(-inf-15.65]\'',S,FALSE
THREE,male,9,0,2,'\'(-inf-15.65]\'',S,TRUE
ONE,female,?,0,1,'\'(15.65-inf)\'',S,TRUE
THREE,female,45,1,4,'\'(-inf-15.65]\'',S,FALSE
ONE,male,?,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,61,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,4,4,1,'\'(-inf-15.65]\'',Q,FALSE
THREE,female,1,1,1,'\'(-inf-15.65]\'',S,TRUE
THREE,male,21,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,56,0,0,'\'(15.65-inf)\'',C,FALSE
THREE,male,18,1,1,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,3,1,'\'(-inf-15.65]\'',S,FALSE
ONE,female,50,0,0,'\'(15.65-inf)\'',C,FALSE
TWO,male,30,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,36,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,8,2,'\'(-inf-15.65]\'',S,FALSE
TWO,male,?,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,9,4,2,'\'(-inf-15.65]\'',S,FALSE
TWO,male,1,2,1,'\'(15.65-inf)\'',S,TRUE
THREE,female,4,0,2,'\'(15.65-inf)\'',S,TRUE
ONE,male,?,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,female,?,1,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,male,45,0,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,40,1,1,'\'(-inf-15.65]\'',Q,FALSE
THREE,male,36,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,32,0,0,'\'(-inf-15.65]\'',S,TRUE
TWO,male,19,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,19,1,0,'\'(-inf-15.65]\'',S,TRUE
TWO,male,3,1,1,'\'(-inf-15.65]\'',S,TRUE
ONE,female,44,0,0,'\'(15.65-inf)\'',C,TRUE
ONE,female,58,0,0,'\'(15.65-inf)\'',C,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',Q,FALSE
THREE,male,42,0,1,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
TWO,female,24,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,8,2,'\'(-inf-15.65]\'',S,FALSE
THREE,male,34,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,45.5,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,18,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,2,0,1,'\'(-inf-15.65]\'',S,FALSE
THREE,male,32,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,26,0,0,'\'(-inf-15.65]\'',C,TRUE
THREE,female,16,0,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,male,40,0,0,'\'(15.65-inf)\'',C,TRUE
THREE,male,24,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,35,0,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,30,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,1,0,'\'(-inf-15.65]\'',Q,FALSE
ONE,female,31,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,27,0,0,'\'(-inf-15.65]\'',S,TRUE
TWO,male,42,1,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,32,0,0,'\'(15.65-inf)\'',C,TRUE
TWO,male,30,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,16,0,0,'\'(-inf-15.65]\'',S,TRUE
TWO,male,27,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,51,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,38,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,19,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,20.5,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,18,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,3,1,'\'(-inf-15.65]\'',S,FALSE
ONE,female,35,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,29,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,59,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,5,4,2,'\'(-inf-15.65]\'',S,TRUE
TWO,male,24,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,44,1,0,'\'(15.65-inf)\'',S,FALSE
TWO,female,8,0,2,'\'(-inf-15.65]\'',S,TRUE
TWO,male,19,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,33,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,1,0,'\'(-inf-15.65]\'',C,FALSE
THREE,female,?,1,0,'\'(-inf-15.65]\'',Q,TRUE
TWO,male,29,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,30,0,0,'\'(-inf-15.65]\'',C,FALSE
ONE,male,44,2,0,'\'(15.65-inf)\'',Q,FALSE
THREE,female,25,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,24,0,2,'\'(-inf-15.65]\'',S,TRUE
ONE,male,37,1,1,'\'(15.65-inf)\'',S,TRUE
TWO,male,54,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,29,1,1,'\'(-inf-15.65]\'',S,FALSE
ONE,male,62,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,30,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,41,0,2,'\'(-inf-15.65]\'',S,FALSE
THREE,female,29,0,2,'\'(-inf-15.65]\'',C,TRUE
ONE,female,?,0,0,'\'(15.65-inf)\'',C,TRUE
ONE,female,30,0,0,'\'(15.65-inf)\'',S,TRUE
ONE,female,35,0,0,'\'(15.65-inf)\'',C,TRUE
TWO,female,50,0,1,'\'(-inf-15.65]\'',S,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',Q,FALSE
THREE,male,3,4,2,'\'(-inf-15.65]\'',S,TRUE
ONE,male,52,1,1,'\'(15.65-inf)\'',S,FALSE
ONE,male,40,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,FALSE
TWO,male,36,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,16,4,1,'\'(-inf-15.65]\'',S,FALSE
THREE,male,25,1,0,'\'(-inf-15.65]\'',S,TRUE
ONE,female,58,0,1,'\'(15.65-inf)\'',S,TRUE
ONE,female,35,0,0,'\'(15.65-inf)\'',S,TRUE
ONE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,25,0,0,'\'(-inf-15.65]\'',S,TRUE
TWO,female,41,0,1,'\'(-inf-15.65]\'',S,TRUE
ONE,male,37,0,1,'\'(15.65-inf)\'',C,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,female,63,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,female,45,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,7,4,1,'\'(-inf-15.65]\'',Q,FALSE
THREE,female,35,1,1,'\'(-inf-15.65]\'',S,TRUE
THREE,male,65,0,0,'\'(-inf-15.65]\'',Q,FALSE
THREE,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,16,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,19,0,0,'\'(-inf-15.65]\'',S,TRUE
ONE,male,?,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,33,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,30,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,42,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,22,0,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,female,26,0,0,'\'(15.65-inf)\'',S,TRUE
ONE,female,19,1,0,'\'(15.65-inf)\'',C,TRUE
TWO,male,36,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,female,24,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,24,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,?,0,0,'\'(15.65-inf)\'',C,FALSE
THREE,male,23.5,0,0,'\'(-inf-15.65]\'',C,FALSE
ONE,female,2,1,2,'\'(15.65-inf)\'',S,FALSE
ONE,male,?,0,0,'\'(15.65-inf)\'',S,TRUE
ONE,female,50,0,1,'\'(15.65-inf)\'',C,TRUE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,?,2,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,19,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,0.92,1,2,'\'(15.65-inf)\'',S,TRUE
ONE,female,?,0,0,'\'(15.65-inf)\'',C,TRUE
ONE,female,17,1,0,'\'(15.65-inf)\'',C,TRUE
TWO,male,30,1,0,'\'(-inf-15.65]\'',C,FALSE
ONE,female,30,0,0,'\'(15.65-inf)\'',C,TRUE
ONE,female,24,0,0,'\'(15.65-inf)\'',C,TRUE
ONE,female,18,2,2,'\'(15.65-inf)\'',C,TRUE
TWO,female,26,1,1,'\'(15.65-inf)\'',S,FALSE
THREE,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,43,1,1,'\'(-inf-15.65]\'',S,FALSE
THREE,female,26,0,0,'\'(-inf-15.65]\'',S,TRUE
TWO,female,24,1,0,'\'(-inf-15.65]\'',S,TRUE
TWO,male,54,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,31,0,2,'\'(15.65-inf)\'',S,TRUE
ONE,female,40,1,1,'\'(15.65-inf)\'',C,TRUE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,27,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,30,0,0,'\'(-inf-15.65]\'',Q,TRUE
TWO,female,22,1,1,'\'(-inf-15.65]\'',S,TRUE
THREE,male,?,8,2,'\'(-inf-15.65]\'',S,FALSE
ONE,female,36,0,0,'\'(15.65-inf)\'',C,TRUE
THREE,male,61,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,36,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,31,1,1,'\'(-inf-15.65]\'',S,TRUE
ONE,female,16,0,1,'\'(15.65-inf)\'',C,TRUE
THREE,female,?,2,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,male,45.5,0,0,'\'(15.65-inf)\'',S,FALSE
ONE,male,38,0,1,'\'(15.65-inf)\'',S,FALSE
THREE,male,16,2,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,?,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,29,1,0,'\'(15.65-inf)\'',S,FALSE
ONE,female,41,0,0,'\'(15.65-inf)\'',C,TRUE
THREE,male,45,0,0,'\'(-inf-15.65]\'',S,TRUE
ONE,male,45,0,0,'\'(15.65-inf)\'',S,FALSE
TWO,male,2,1,1,'\'(-inf-15.65]\'',S,TRUE
ONE,female,24,3,2,'\'(15.65-inf)\'',S,TRUE
TWO,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,25,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,36,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,24,0,0,'\'(-inf-15.65]\'',S,TRUE
TWO,female,40,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,female,?,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,3,1,1,'\'(-inf-15.65]\'',S,TRUE
THREE,male,42,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,23,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,?,0,0,'\'(15.65-inf)\'',S,FALSE
THREE,male,15,1,1,'\'(-inf-15.65]\'',C,FALSE
THREE,male,25,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,28,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,22,0,1,'\'(15.65-inf)\'',S,TRUE
TWO,female,38,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
THREE,male,40,1,4,'\'(-inf-15.65]\'',S,FALSE
TWO,male,29,1,0,'\'(15.65-inf)\'',C,FALSE
THREE,female,45,0,1,'\'(-inf-15.65]\'',C,FALSE
THREE,male,35,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,?,1,0,'\'(-inf-15.65]\'',Q,FALSE
THREE,male,30,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,60,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,?,0,0,'\'(-inf-15.65]\'',C,TRUE
THREE,female,?,0,0,'\'(-inf-15.65]\'',Q,TRUE
ONE,female,24,0,0,'\'(15.65-inf)\'',C,TRUE
ONE,male,25,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,male,18,1,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,19,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,male,22,0,0,'\'(15.65-inf)\'',C,FALSE
THREE,female,3,3,1,'\'(-inf-15.65]\'',S,FALSE
ONE,female,?,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,22,0,0,'\'(-inf-15.65]\'',S,TRUE
ONE,male,27,0,2,'\'(15.65-inf)\'',C,FALSE
THREE,male,20,0,0,'\'(-inf-15.65]\'',C,FALSE
THREE,male,19,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,42,0,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,1,0,2,'\'(-inf-15.65]\'',C,TRUE
THREE,male,32,0,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,35,1,0,'\'(15.65-inf)\'',S,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,18,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,male,1,5,2,'\'(-inf-15.65]\'',S,FALSE
TWO,female,36,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,?,0,0,'\'(-inf-15.65]\'',Q,FALSE
TWO,female,17,0,0,'\'(-inf-15.65]\'',C,TRUE
ONE,male,36,1,2,'\'(15.65-inf)\'',S,TRUE
THREE,male,21,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,28,2,0,'\'(-inf-15.65]\'',S,FALSE
ONE,female,23,1,0,'\'(15.65-inf)\'',C,TRUE
THREE,female,24,0,2,'\'(-inf-15.65]\'',S,TRUE
THREE,male,22,0,0,'\'(-inf-15.65]\'',S,FALSE
THREE,female,31,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,46,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,male,23,0,0,'\'(-inf-15.65]\'',S,FALSE
TWO,female,28,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,39,0,0,'\'(-inf-15.65]\'',S,TRUE
THREE,male,26,0,0,'\'(-inf-15.65]\'',S,FALSE
