Signals,Read,Detected,PercentDetected,Percent1us
8000,34,34,100.00,17.65
8050,39,39,100.00,17.95
8100,33,33,100.00,18.18
8150,37,37,100.00,18.92
8200,32,32,100.00,15.62
8250,42,42,100.00,30.95
8300,33,33,100.00,15.15
8350,35,35,100.00,17.14
8400,36,36,100.00,30.56
8450,37,37,100.00,16.22
8500,36,36,100.00,27.78
8550,35,35,100.00,22.86
8600,35,35,100.00,25.71
8650,40,40,100.00,30.00
8700,37,37,100.00,37.84
8750,33,33,100.00,30.30
8800,37,37,100.00,24.32
8850,38,38,100.00,28.95
8900,39,39,100.00,33.33
8950,29,29,100.00,13.79
9000,38,38,100.00,28.95
9050,33,33,100.00,21.21
9100,33,33,100.00,27.27
9150,35,35,100.00,22.86
9200,29,29,100.00,20.69
9250,31,31,100.00,22.58
9300,38,38,100.00,42.11
9350,36,36,100.00,19.44
9400,32,32,100.00,28.12
9450,34,34,100.00,29.41
9500,36,36,100.00,27.78
9550,41,41,100.00,24.39
9600,36,36,100.00,30.56
9650,39,39,100.00,20.51
9700,39,39,100.00,28.21
9750,36,36,100.00,22.22
9800,39,39,100.00,25.64
9850,36,36,100.00,19.44
9900,38,38,100.00,23.68
9950,36,36,100.00,25.00
10000,36,36,100.00,16.67
10050,34,34,100.00,17.65
10100,40,40,100.00,20.00
10150,42,42,100.00,19.05
10200,35,35,100.00,22.86
10250,33,33,100.00,15.15
10300,31,31,100.00,16.13
10350,35,35,100.00,22.86
10400,38,38,100.00,15.79
10450,36,36,100.00,25.00
10500,29,29,100.00,17.24
10550,30,30,100.00,20.00
10600,38,38,100.00,15.79
10650,36,36,100.00,11.11
10700,35,35,100.00,28.57
10750,35,35,100.00,22.86
10800,32,32,100.00,21.88
10850,28,28,100.00,7.14
10900,34,34,100.00,14.71
10950,37,37,100.00,18.92
11000,36,36,100.00,19.44
11050,37,37,100.00,24.32
11100,40,40,100.00,20.00
11150,35,35,100.00,28.57
11200,37,37,100.00,27.03
11250,39,39,100.00,17.95
11300,37,37,100.00,21.62
11350,38,38,100.00,10.53
11400,33,33,100.00,39.39
11450,30,30,100.00,10.00
11500,35,35,100.00,17.14
11550,40,40,100.00,10.00
11600,36,36,100.00,27.78
11650,33,33,100.00,24.24
11700,38,38,100.00,18.42
11750,34,34,100.00,17.65
11800,34,34,100.00,20.59
11850,34,34,100.00,11.76
11900,36,36,100.00,19.44
11950,37,37,100.00,13.51
12000,35,35,100.00,11.43
12050,40,40,100.00,20.00
12100,39,39,100.00,20.51
12150,38,38,100.00,23.68
12200,44,44,100.00,20.45
12250,33,33,100.00,18.18
12300,33,33,100.00,9.09
12350,39,39,100.00,30.77
12400,33,33,100.00,18.18
12450,38,38,100.00,10.53
12500,33,33,100.00,9.09
12550,31,31,100.00,9.68
12600,39,39,100.00,10.26
12650,36,36,100.00,22.22
12700,40,40,100.00,20.00
12750,31,31,100.00,16.13
12800,33,33,100.00,27.27
12850,40,40,100.00,20.00
12900,31,31,100.00,12.90
12950,34,34,100.00,35.29
13000,36,36,100.00,25.00
13050,35,35,100.00,17.14
13100,38,38,100.00,10.53
13150,39,39,100.00,17.95
13200,36,36,100.00,19.44
13250,38,38,100.00,13.16
13300,39,39,100.00,25.64
13350,38,38,100.00,21.05
13400,38,38,100.00,10.53
13450,38,38,100.00,28.95
13500,34,34,100.00,20.59
13550,37,37,100.00,16.22
13600,33,33,100.00,30.30
13650,41,41,100.00,17.07
13700,38,38,100.00,18.42
13750,29,29,100.00,13.79
13800,32,32,100.00,31.25
13850,38,38,100.00,18.42
13900,35,35,100.00,5.71
13950,35,35,100.00,14.29
14000,34,34,100.00,14.71
14050,41,41,100.00,17.07
14100,39,39,100.00,15.38
14150,41,41,100.00,14.63
14200,38,38,100.00,21.05
14250,33,33,100.00,9.09
14300,40,40,100.00,20.00
14350,38,38,100.00,10.53
14400,35,35,100.00,8.57
14450,36,36,100.00,8.33
14500,32,32,100.00,25.00
14550,36,36,100.00,11.11
14600,34,34,100.00,17.65
14650,35,35,100.00,11.43
14700,39,39,100.00,20.51
14750,34,34,100.00,17.65
14800,35,35,100.00,20.00
14850,35,35,100.00,8.57
14900,37,37,100.00,18.92
14950,33,33,100.00,21.21
15000,31,31,100.00,9.68
15050,33,33,100.00,15.15
15100,34,34,100.00,8.82
15150,33,33,100.00,12.12
15200,32,32,100.00,6.25
15250,35,35,100.00,11.43
15300,35,35,100.00,8.57
15350,41,41,100.00,14.63
15400,36,36,100.00,8.33
15450,40,40,100.00,20.00
15500,38,38,100.00,10.53
15550,37,37,100.00,16.22
15600,36,36,100.00,19.44
15650,37,37,100.00,24.32
15700,30,30,100.00,20.00
15750,32,32,100.00,28.12
15800,35,35,100.00,14.29
15850,33,33,100.00,15.15
15900,36,36,100.00,5.56
15950,40,40,100.00,10.00
16000,35,35,100.00,8.57
16050,34,34,100.00,17.65
16100,30,30,100.00,13.33
16150,37,37,100.00,16.22
16200,36,36,100.00,16.67
16250,30,30,100.00,10.00
16300,34,34,100.00,26.47
16350,31,31,100.00,12.90
16400,40,40,100.00,15.00
16450,40,40,100.00,5.00
16500,32,32,100.00,21.88
16550,34,34,100.00,17.65
16600,37,37,100.00,24.32
16650,32,32,100.00,6.25
16700,35,35,100.00,5.71
16750,36,36,100.00,2.78
16800,40,40,100.00,10.00
16850,34,34,100.00,8.82
16900,38,38,100.00,13.16
16950,34,34,100.00,17.65
17000,35,35,100.00,5.71
17050,35,35,100.00,5.71
17100,33,33,100.00,18.18
17150,32,32,100.00,21.88
17200,36,36,100.00,19.44
17250,34,34,100.00,8.82
17300,40,40,100.00,12.50
17350,38,38,100.00,15.79
17400,31,31,100.00,9.68
17450,36,36,100.00,13.89
17500,42,42,100.00,14.29
17550,37,37,100.00,10.81
17600,37,37,100.00,8.11
17650,39,39,100.00,15.38
17700,41,41,100.00,12.20
17750,37,37,100.00,8.11
17800,37,37,100.00,13.51
17850,38,38,100.00,15.79
17900,34,34,100.00,2.94
17950,32,32,100.00,12.50
18000,38,38,100.00,15.79
18050,39,39,100.00,5.13
18100,33,33,100.00,21.21
18150,33,33,100.00,12.12
18200,30,30,100.00,10.00
18250,39,39,100.00,15.38
18300,33,33,100.00,9.09
18350,30,30,100.00,23.33
18400,33,33,100.00,15.15
18450,34,34,100.00,5.88
18500,36,36,100.00,5.56
18550,41,41,100.00,12.20
18600,40,40,100.00,12.50
18650,30,30,100.00,6.67
18700,33,33,100.00,3.03
18750,43,43,100.00,9.30
18800,36,36,100.00,8.33
18850,33,33,100.00,15.15
18900,33,33,100.00,15.15
18950,32,32,100.00,15.62
19000,39,39,100.00,17.95
19050,43,43,100.00,6.98
19100,33,33,100.00,12.12
19150,42,42,100.00,4.76
19200,34,34,100.00,8.82
19250,38,38,100.00,13.16
19300,37,37,100.00,13.51
19350,35,35,100.00,22.86
19400,37,37,100.00,5.41
19450,33,33,100.00,6.06
19500,37,37,100.00,18.92
19550,38,38,100.00,7.89
19600,38,38,100.00,13.16
19650,33,33,100.00,9.09
19700,41,41,100.00,14.63
19750,40,40,100.00,10.00
19800,34,34,100.00,8.82
19850,37,37,100.00,13.51
19900,40,40,100.00,22.50
19950,36,36,100.00,5.56
20000,44,44,100.00,9.09
25000,37,37,100.00,16.22
30000,40,40,100.00,17.50
35000,42,42,100.00,14.29
40000,35,35,100.00,14.29
45000,35,35,100.00,8.57
50000,38,38,100.00,2.63
55000,30,30,100.00,6.67
60000,30,30,100.00,3.33
65000,41,41,100.00,4.88
70000,38,38,100.00,2.63
75000,31,31,100.00,12.90
80000,34,34,100.00,5.88
85000,37,37,100.00,2.70
90000,35,35,100.00,0.00
95000,32,32,100.00,3.12
100000,40,40,100.00,0.00
150000,32,32,100.00,0.00
200000,32,32,100.00,0.00
250000,37,37,100.00,0.00
300000,33,33,100.00,3.03
350000,33,33,100.00,0.00
400000,33,33,100.00,0.00
450000,31,31,100.00,0.00
500000,33,33,100.00,3.03
550000,38,38,100.00,0.00
600000,33,33,100.00,0.00
650000,33,33,100.00,0.00
700000,33,33,100.00,0.00
750000,34,34,100.00,0.00
800000,35,35,100.00,0.00
850000,33,33,100.00,0.00
900000,36,36,100.00,0.00
950000,36,36,100.00,0.00
1000000,37,37,100.00,0.00
