Signals,Read,Detected,PercentDetected,Percent1us
6250,33,33,100.00,21.21
6300,33,33,100.00,21.21
6350,33,33,100.00,30.30
6400,32,32,100.00,18.75
6450,35,35,100.00,28.57
6500,36,36,100.00,25.00
6550,36,36,100.00,25.00
6600,35,35,100.00,20.00
6650,35,35,100.00,20.00
6700,36,36,100.00,30.56
6750,36,36,100.00,11.11
6800,35,35,100.00,17.14
6850,37,37,100.00,24.32
6900,35,35,100.00,34.29
6950,35,35,100.00,22.86
7000,39,39,100.00,25.64
7050,40,40,100.00,7.50
7100,32,32,100.00,9.38
7150,30,30,100.00,36.67
7200,35,35,100.00,20.00
7250,36,36,100.00,27.78
7300,38,38,100.00,23.68
7350,40,40,100.00,27.50
7400,33,33,100.00,21.21
7450,37,37,100.00,16.22
7500,43,43,100.00,16.28
7550,35,35,100.00,22.86
7600,34,34,100.00,17.65
7650,38,38,100.00,26.32
7700,36,36,100.00,13.89
7750,35,35,100.00,22.86
7800,33,33,100.00,21.21
7850,37,37,100.00,24.32
7900,40,40,100.00,22.50
7950,34,34,100.00,14.71
8000,30,30,100.00,26.67
8050,34,34,100.00,11.76
8100,39,39,100.00,15.38
8150,39,39,100.00,30.77
8200,37,37,100.00,21.62
8250,35,35,100.00,22.86
8300,38,38,100.00,23.68
8350,30,30,100.00,20.00
8400,35,35,100.00,17.14
8450,36,36,100.00,19.44
8500,32,32,100.00,3.12
8550,36,36,100.00,27.78
8600,34,34,100.00,17.65
8650,39,39,100.00,7.69
8700,37,37,100.00,18.92
8750,31,31,100.00,25.81
8800,32,32,100.00,28.12
8850,33,33,100.00,18.18
8900,39,39,100.00,7.69
8950,36,36,100.00,11.11
9000,35,35,100.00,14.29
9050,35,35,100.00,20.00
9100,34,34,100.00,35.29
9150,37,37,100.00,13.51
9200,40,40,100.00,12.50
9250,36,36,100.00,11.11
9300,37,37,100.00,16.22
9350,33,33,100.00,21.21
9400,39,39,100.00,20.51
9450,40,40,100.00,20.00
9500,38,38,100.00,10.53
9550,33,33,100.00,12.12
9600,32,32,100.00,0.00
9650,37,37,100.00,5.41
9700,32,32,100.00,12.50
9750,37,37,100.00,16.22
9800,31,31,100.00,9.68
9850,30,30,100.00,16.67
9900,33,33,100.00,15.15
9950,38,38,100.00,23.68
10000,34,34,100.00,20.59
10050,32,32,100.00,15.62
10100,32,32,100.00,12.50
10150,31,31,100.00,12.90
10200,39,39,100.00,23.08
10250,33,33,100.00,15.15
10300,34,34,100.00,14.71
10350,39,39,100.00,17.95
10400,38,38,100.00,10.53
10450,34,34,100.00,23.53
10500,39,39,100.00,28.21
10550,34,34,100.00,14.71
10600,34,34,100.00,8.82
10650,36,36,100.00,11.11
10700,43,43,100.00,13.95
10750,44,44,100.00,15.91
10800,44,44,100.00,13.64
10850,37,37,100.00,16.22
10900,40,40,100.00,15.00
10950,32,32,100.00,15.62
11000,37,37,100.00,21.62
11050,36,36,100.00,8.33
11100,29,29,100.00,10.34
11150,32,32,100.00,18.75
11200,27,27,100.00,14.81
11250,35,35,100.00,17.14
11300,34,34,100.00,17.65
11350,33,33,100.00,9.09
11400,35,35,100.00,8.57
11450,37,37,100.00,10.81
11500,37,37,100.00,2.70
11550,42,42,100.00,19.05
11600,33,33,100.00,18.18
11650,35,35,100.00,17.14
11700,37,37,100.00,16.22
11750,39,39,100.00,12.82
11800,31,31,100.00,16.13
11850,39,39,100.00,20.51
11900,36,36,100.00,13.89
11950,38,38,100.00,13.16
12000,34,34,100.00,2.94
12050,30,30,100.00,3.33
12100,36,36,100.00,16.67
12150,39,39,100.00,23.08
12200,34,34,100.00,17.65
12250,38,38,100.00,10.53
12300,33,33,100.00,6.06
12350,35,35,100.00,5.71
12400,36,36,100.00,19.44
12450,32,32,100.00,12.50
12500,40,40,100.00,7.50
12550,38,38,100.00,10.53
12600,39,39,100.00,17.95
12650,37,37,100.00,10.81
12700,36,36,100.00,11.11
12750,35,35,100.00,2.86
12800,28,28,100.00,14.29
12850,33,33,100.00,3.03
12900,36,36,100.00,19.44
12950,32,32,100.00,9.38
13000,39,39,100.00,15.38
13050,37,37,100.00,8.11
13100,34,34,100.00,11.76
13150,37,37,100.00,8.11
13200,35,35,100.00,14.29
13250,34,34,100.00,8.82
13300,34,34,100.00,11.76
13350,33,33,100.00,6.06
13400,29,29,100.00,10.34
13450,37,37,100.00,18.92
13500,36,36,100.00,11.11
13550,33,33,100.00,3.03
13600,37,37,100.00,13.51
13650,35,35,100.00,8.57
13700,34,34,100.00,5.88
13750,37,37,100.00,8.11
13800,39,39,100.00,12.82
13850,31,31,100.00,6.45
13900,34,34,100.00,11.76
13950,33,33,100.00,9.09
14000,36,36,100.00,19.44
14050,38,38,100.00,5.26
14100,37,37,100.00,8.11
14150,38,38,100.00,13.16
14200,36,36,100.00,11.11
14250,34,34,100.00,11.76
14300,32,32,100.00,12.50
14350,39,39,100.00,7.69
14400,36,36,100.00,19.44
14450,34,34,100.00,11.76
14500,37,37,100.00,10.81
14550,33,33,100.00,9.09
14600,33,33,100.00,12.12
14650,34,34,100.00,8.82
14700,34,34,100.00,8.82
14750,31,31,100.00,16.13
14800,34,34,100.00,2.94
14850,37,37,100.00,8.11
14900,37,37,100.00,13.51
14950,35,35,100.00,14.29
15000,32,32,100.00,6.25
15050,31,31,100.00,9.68
15100,38,38,100.00,13.16
15150,37,37,100.00,5.41
15200,32,32,100.00,9.38
15250,36,36,100.00,5.56
15300,36,36,100.00,13.89
15350,32,32,100.00,9.38
15400,35,35,100.00,5.71
15450,34,34,100.00,2.94
15500,37,37,100.00,18.92
15550,37,37,100.00,16.22
15600,35,35,100.00,14.29
15650,34,34,100.00,5.88
15700,34,34,100.00,11.76
15750,46,46,100.00,15.22
15800,39,39,100.00,17.95
15850,36,36,100.00,8.33
15900,42,42,100.00,14.29
15950,39,39,100.00,7.69
16000,35,35,100.00,5.71
16050,37,37,100.00,16.22
16100,35,35,100.00,8.57
16150,33,33,100.00,9.09
16200,29,29,100.00,13.79
16250,38,38,100.00,13.16
16300,35,35,100.00,8.57
16350,31,31,100.00,16.13
16400,35,35,100.00,11.43
16450,34,34,100.00,8.82
16500,31,31,100.00,12.90
16550,37,37,100.00,10.81
16600,34,34,100.00,17.65
16650,39,39,100.00,10.26
16700,39,39,100.00,10.26
16750,29,29,100.00,17.24
16800,38,38,100.00,18.42
16850,39,39,100.00,7.69
16900,35,35,100.00,5.71
16950,37,37,100.00,16.22
17000,34,34,100.00,2.94
17050,35,35,100.00,5.71
17100,35,35,100.00,0.00
17150,37,37,100.00,10.81
17200,32,32,100.00,3.12
17250,36,36,100.00,16.67
17300,37,37,100.00,10.81
17350,38,38,100.00,13.16
17400,44,44,100.00,9.09
17450,38,38,100.00,2.63
17500,36,36,100.00,8.33
17550,36,36,100.00,8.33
17600,35,35,100.00,0.00
17650,39,39,100.00,25.64
17700,35,35,100.00,5.71
17750,35,35,100.00,2.86
17800,34,34,100.00,2.94
17850,39,39,100.00,12.82
17900,39,39,100.00,15.38
17950,34,34,100.00,11.76
18000,32,32,100.00,9.38
18050,37,37,100.00,5.41
18100,35,35,100.00,20.00
18150,36,36,100.00,0.00
18200,33,33,100.00,6.06
18250,33,33,100.00,12.12
18300,37,37,100.00,5.41
18350,34,34,100.00,17.65
18400,37,37,100.00,8.11
18450,39,39,100.00,12.82
18500,40,40,100.00,0.00
18550,38,38,100.00,15.79
18600,33,33,100.00,3.03
18650,36,36,100.00,16.67
18700,41,41,100.00,2.44
18750,34,34,100.00,11.76
18800,35,35,100.00,8.57
18850,41,41,100.00,12.20
18900,35,35,100.00,8.57
18950,33,33,100.00,12.12
19000,34,34,100.00,5.88
19050,32,32,100.00,6.25
19100,32,32,100.00,3.12
19150,38,38,100.00,7.89
19200,33,33,100.00,6.06
19250,37,37,100.00,5.41
19300,29,29,100.00,6.90
19350,35,35,100.00,11.43
19400,36,36,100.00,11.11
19450,34,34,100.00,5.88
19500,36,36,100.00,2.78
19550,35,35,100.00,5.71
19600,34,34,100.00,20.59
19650,37,37,100.00,5.41
19700,39,39,100.00,12.82
19750,33,33,100.00,15.15
19800,36,36,100.00,5.56
19850,41,41,100.00,9.76
19900,39,39,100.00,2.56
19950,36,36,100.00,0.00
20000,41,41,100.00,4.88
25000,32,32,100.00,3.12
30000,33,33,100.00,9.09
35000,35,35,100.00,8.57
40000,34,34,100.00,8.82
45000,34,34,100.00,0.00
50000,32,32,100.00,0.00
55000,34,34,100.00,2.94
60000,36,36,100.00,5.56
65000,33,33,100.00,0.00
70000,35,35,100.00,2.86
75000,32,32,100.00,0.00
80000,39,39,100.00,0.00
85000,39,39,100.00,2.56
90000,40,40,100.00,0.00
95000,38,38,100.00,0.00
100000,38,38,100.00,2.63
150000,37,37,100.00,0.00
200000,39,39,100.00,0.00
250000,31,31,100.00,0.00
300000,34,34,100.00,0.00
350000,32,32,100.00,0.00
400000,38,38,100.00,0.00
450000,37,37,100.00,0.00
500000,38,38,100.00,0.00
550000,31,31,100.00,3.23
600000,38,38,100.00,0.00
650000,32,32,100.00,0.00
700000,30,30,100.00,0.00
750000,37,37,100.00,0.00
800000,30,30,100.00,0.00
850000,34,34,100.00,5.88
900000,31,31,100.00,0.00
950000,37,37,100.00,0.00
1000000,34,34,100.00,0.00
